"Which is the tallest mountain in the world?",Mt.Everest,K2,Annapurna,Dhaulagiri,1
"Who was the first man to fly around the earth with a spaceship?",Armstrong,Gagarin,Prachanda,Trump,2
"In which country were the first Olympic Games held?",Rome,Italy,Greece,Britian,3
"What do the Japanese people call their own country?",Eikoku,Beikoku,Nippon,Kankoku,3
"What island, which belonged to Denmark, was independent in 1944?",Greece,Vinland,Iceland,Switzerland,3
"Which Turkish city has the name of a cartoon character?",Superman,Batman,Spiderman,Micki Mouse,2
"Who killed the Minotaur ?",Theseus,Perseus,Hercules,Prometheus,1
"What is the name of the winged horse in Greek mythology?",Unicorn,Pegasus,Minotaur,Griffin,2
"What is the national sport in Japan?",Football,Sumo Wrestling,Swimming,Sword Play,2
"Which football club has the most UCL wins?",Barcelona,Liverpool,Real Madrid,AC Milan,3
"Which football club won three straight UEFA Champions League titles since the tournament's inception?",AC Milan,Bayern Munich,Real Madrid,Liverpool,3
"When did dinosaurs become extinct?",100M yrs ago,65M yrs ago,20M yrs ago,200M yrs ago,2
"During which era did dinosaurs dominate the world?",Platezioc era,Mesozoic era,Cenozoic era,Paleozoic era,2
"Which is the largest land carnivorous animal?",Tyrannosaurus Rex,Spinosaurus,Argentinosaurus,Titanoceratops,2
"What is the largest predator in the world?",Brown Bear,African Lion,Polar Bear,Siberean Tiger,3
"Which actor appeared in famous films, such as 'Gone in 60 Seconds', 'Face/Off', 'Ghost Rider'?",Nicolas Cage,Jhonny Depp,Jeremy Renner,Will Smith,1
"In what year was Google launched on the web?",1990,1995,2000,1998,4
"Which vitamin is the only one that you will not find in an egg?",Vitamin A,Vitamin K,Vitamin C,Vitamin D,3
